accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE337601	XCR1+ and CD11b+ migratory dendritic cells cooperate for the crosspriming of intratumoral CD8+ T cells with a tissue-resident memory phenotype [RNA-Seq]	Mus musculus		36			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	The composition and diversity of tumor-infiltrating CD8+ T cell populations have important consequences on the development of anti-tumor immunity. In a murine model of lung cancer, we have addressed the role of dendritic cell subsets on the generation of various types of tumor-infiltrating CD8+ T cells. We show that CD44+PD1- effector and PD1+TIM3+ exhausted, tumor-infiltrating CD8+ T cells require XCR1+ DC1s but not IRF4-dependent CD11b+ DC2s. By contrast, CD103+CD69+ TRM-like, tumor-infiltrating CD8+ T cells require both DC1s and DC2s. The same requirement is found in tumor-draining lymph nodes where we identify CD103+ TRM-like precursors that are dependent on both XCR1+ DC1s and CD11b+, migratory DC2s. Mechanistically, we evidence that both types of migratory DCs cooperate. Mild TCR triggering by low MHCI-peptide density at the surface of cross-presenting migratory DC2s and low IL-12 support TGFb-dependent TRM specification in lymph nodes. High TCR triggering and high MHCI-peptide density at the surface of cross-presenting migratory DC1s and high IL-12 support proliferative expansion and CXCR6 acquisition. Altogether, these findings highlight the induction of intratumoral TRM-like cells under the collective aegis of multiple DCs subsets within tumor-draining lymph nodes reconciliating TRM phenotype instruction with proliferative expansion.
GSE337798	XCR1+ and CD11b+ migratory dendritic cells cooperate for the crosspriming of intratumoral CD8+ T cells with a tissue-resident memory phenotype	Mus musculus		10			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	The composition and diversity of tumor-infiltrating CD8+ T cell populations have important consequences on the development of anti-tumor immunity. In a murine model of lung cancer, we have addressed the role of dendritic cell subsets on the generation of various types of tumor-infiltrating CD8+ T cells. We show that CD44+PD1- effector and PD1+TIM3+ exhausted, tumor-infiltrating CD8+ T cells require XCR1+ DC1s but not IRF4-dependent CD11b+ DC2s. By contrast, CD103+CD69+ TRM-like, tumor-infiltrating CD8+ T cells require both DC1s and DC2s. The same requirement is found in tumor-draining lymph nodes where we identify CD103+ TRM-like precursors that are dependent on both XCR1+ DC1s and CD11b+, migratory DC2s. Mechanistically, we evidence that both types of migratory DCs cooperate. Mild TCR triggering by low MHCI-peptide density at the surface of cross-presenting migratory DC2s and low IL-12 support TGFb-dependent TRM specification in lymph nodes. High TCR triggering and high MHCI-peptide density at the surface of cross-presenting migratory DC1s and high IL-12 support proliferative expansion and CXCR6 acquisition. Altogether, these findings highlight the induction of intratumoral TRM-like cells under the collective aegis of multiple DCs subsets within tumor-draining lymph nodes reconciliating TRM phenotype instruction with proliferative expansion.
GSE341379	Distinct histone 3 lysine methylation states underlie tumor immune surveillance	Mus musculus		50			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Mutations in histone 3 at or near lysine 36 (H3K36) have dominantly acting oncogenic effects in multiple tumor types by limiting H3K36-directed methyltransferases. Paradoxically, we find that expression of the H3K36M oncohistone unexpectedly inhibits tumor formation in KRAS-driven lung adenocarcinoma by inducing a potent immune-mediated tumor clearance. Mechanistically, oncohistone expression derepresses endogenous retroviral element transcription, results in the accumulation of double-stranded RNA (dsRNA), and activates an innate antiviral-like immune response that eradicates tumor growth. Surprisingly, while inactivation of the H3K36 di-methyltransferase NSD2 replicated all effects of oncohistone expression, inactivation of the H3K36 tri-methyltransferase SETD2 abolished element derepression and all associated downstream anti-cancer effects that are induced by oncohistone expression. These observations restructure our understanding of the roles of H3K36 methylation, the consequences of its deregulation in cancer, and shape our expectations for therapeutic interventions targeting H3K36 methyltransferases.
GSE342290	Inflammasome Hyperactivation Disrupts  Construction of the Gas Exchange Surface through the NLRP3-IL-18-TNFa Axis [scRNA-seq]	Mus musculus		4			Tacstd2 AND lung	Inflammation is a prominent feature of tissue injury, and a driver of chronic disease. However, the precise molecular mechanisms underlying the impact of inflammation remains unclear in many injury settings including in alveolar development to build the gas exchange surface in lung. Here we show that in mice, overexpression of patient-derived activated variants of Nlrp3 (Nlrp3act), a central sensor within the inflammasome, resulted in severe simplification of alveoli. Such histology is accompanied by a striking decrease of cell proliferation and marker expression of secondary crest myofibroblasts (SCMFs) whose contractility is essential for septa formation. Such a drastic effect on lung structure was only observed when the variants were overexpressed in the first two weeks after birth, but not later. While both downstream proinflammatory cytokines IL-1β and IL-18 are upregulated, inactivation of Il18, but not Il1b in the Nlrp3act background reversed simplification. Also unlikely in other tissue settings where Mmp9 is a critical mediator downstream of the inflammasome, inactivation of Mmp9 also did not reverse Nlrp3act phenotypes, suggesting context-dependent mechanisms. scRNAseq followed by validation revealed IL-18-dependent increase of Tnfα in myeloid cells, capable of signaling through its widely-expressed receptors to all structural cells including SCMFs. Addition of recombinant TNFα to mesenchymal cells enriched for SCMFs led to reduced contractile gene expression. Finally, inactivation of Tnfα in the Nlrp3act background led to a robust reversal of simplification. These findings together demonstrate an inflammasome-IL-18-TNFα axis that dictate lung mesenchymal cell states, thereby control the building of the gas exchange surface.
GSE38341	Transcriptional profiling of lung cancer cells over-expression miR-34a.	Mus musculus		6			344SQ	The Zeb1 transcriptional repressor plays a key role in metastasis through the down-regulation of genes that are strong inducers of epithelial differentiation and inhibitors of stem-ness. Here we report that Zeb1 controls the expression of numerous oncogenic and tumor suppressive microRNAs (miRs). Zeb1 stimulated pro-migratory cytoskeletal processes by down-regulating miR-34a and activated Rho GTPases through Arhgap1, a Cdc42 GTPase activating protein and novel miR-34a target gene. Poor-prognosis human lung adenocarcinomas were highly enriched in a cytoskeletal gene signature activated by miR-34a down-regulation. These findings suggest that Zeb1 regulates a miR network and drives pro-migratory cytoskeletal processes through miR-34a.
GSE38386	Profiling of microRNA expression in lung cancer cells with up-regulation of Zeb1	Mus musculus; Homo sapiens		6			344P OR 393P OR 531LN2	The Zeb1 transcriptional repressor plays a key role in metastasis through the down-regulation of genes that are strong inducers of epithelial differentiation and inhibitors of stem-ness. Here we report that Zeb1 controls the expression of numerous oncogenic and tumor suppressive microRNAs (miRs). Zeb1 stimulated pro-migratory cytoskeletal processes by down-regulating miR-34a and activated Rho GTPases through Arhgap1, a Cdc42 GTPase activating protein and novel miR-34a target gene. Poor-prognosis human lung adenocarcinomas were highly enriched in a cytoskeletal gene signature activated by miR-34a down-regulation. These findings suggest that Zeb1 regulates a miR network and drives pro-migratory cytoskeletal processes through miR-34a.
GSE46869	Gene expression profiles of PIK3CA knockdown by shRNA in lung cancer cells	Mus musculus		6			344SQ	To gain insight into EMT-independent biological processes through which PI3K promotes invasion, RNA samples from 344SQ_p110α shRNA cells and 344SQ_scr cells were subjected to global transcriptional profiling.
GSE50405	Role of epigenetic modifiers on the bovine fibroblast innate immune response	Bos taurus		24			344P OR 393P OR 531LN2	The innate immune signaling pathway plays a crucial role in the recognition and early response to pathogens associated with disease. Genetic analysis has been unable to completely account for individual variability in the strength of the innate immune response. The aim of this study was to determine the role of the epigenetic markers (DNA methylation or histone acetylation) in controlling bovine gene expression in relation to the response to lipopolysaccharide (LPS). To determine the impact epigenetics may have in controlling innate immunity, dermal fibroblasts from fifteen dairy heifers having previously displayed a differential response to LPS were exposed to 5-aza-2’-deoxyctidine (AZA) and trichostatin A (TSA); de-methylating and hyper-acetylating agents, respectively. The AZA-TSA
GSE50927	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	Mus musculus		5			Cldn4 AND lung	WT mice and claudin 4 KO mice were exposed to ventilator-induced lung injury (VILI) for 2 hours. We found that in some Cldn4 KO mice, injury was similar to WT, while in others, injury was higher, as assessed by amount of protein leak into broncho-alveolar lavage fluid. We performed RNAseq to find which genes were responsible for higher injury in Cldn4 KO mice.
GSE61395	Transcriptional profiling of lung cancer cells transfected with Zeb1.	Mus musculus		6			344SQ | 344P OR 393P OR 531LN2	To elucidate the mechanisms by which the mir-200 and the miR-183~96~182 cluster could regulate EMT and thus cellular migration, invasion and metastasis in NSCLC, we searched for common predicted targets of these microRNA families that might have a potential role in these biological processes. First we performed a cross comparison of multiple gene expression datasets from our mouse models of metastasis. We overlapped 224 genes that were elevated greater than four-folds upon Zeb1 induction in 393P cells with 210 genes that showed greater than two-fold increase in expression in the metastatic 344SQ cells compared to the non-metastatic 393P cells and 143 genes that were repressed to less than 0.5-fold in cells with exogenous expression of miR-200. This resulted in an enriched list of 45 genes that are potential miR-200 targets having a role in the process of EMT and metastasis. Next we performed an overlap of genes that were predicted targets of the miR-200 family members and the miR-183~96~182 cluster using the microRNA prediction algorithms miRanda (www.microRNA.org) and identified a list of 17 highly conserved common targets with a mirSVR score less than -6.0. The only 2 genes common in both the overlapping subsets were Zeb1 and Foxf2.
